band,region,power,state,condition,subject
fast_gamma,mpta_wm_ref,848.2423828863054,NREM,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,7749.297723578795,NREM,baseline-light-period,Valentino
low_delta,mpta_wm_ref,5610.879657211754,wake,baseline-light-period,Valentino
low_delta,sr_wm_ref,42618.92179985138,wake,baseline-light-period,Valentino
delta,mpta_wm_ref,10640.388589831055,wake,baseline-light-period,Valentino
delta,sr_wm_ref,92111.30420775112,wake,baseline-light-period,Valentino
theta,mpta_wm_ref,6374.707217605319,wake,baseline-light-period,Valentino
theta,sr_wm_ref,134862.61555125704,wake,baseline-light-period,Valentino
fast_gamma,mpta_wm_ref,880.035146944339,wake,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,3478.1819653386956,wake,baseline-light-period,Valentino
low_delta,mpta_wm_ref,14006.117025151245,all-SPW-states,baseline-light-period,Valentino
low_delta,sr_wm_ref,80704.61360848362,all-SPW-states,baseline-light-period,Valentino
delta,mpta_wm_ref,28228.24669223341,all-SPW-states,baseline-light-period,Valentino
delta,sr_wm_ref,193015.03939345956,all-SPW-states,baseline-light-period,Valentino
theta,mpta_wm_ref,12295.373039693652,all-SPW-states,baseline-light-period,Valentino
theta,sr_wm_ref,178344.3485107099,all-SPW-states,baseline-light-period,Valentino
fast_gamma,mpta_wm_ref,861.3570858118983,all-SPW-states,baseline-light-period,Valentino
fast_gamma,sr_wm_ref,5982.392992110089,all-SPW-states,baseline-light-period,Valentino
low_delta,mpta_wm_ref,21150.848005160147,NREM,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,118173.07696706548,NREM,first2h-recovery-match,Valentino
delta,mpta_wm_ref,41338.09741485174,NREM,first2h-recovery-match,Valentino
delta,sr_wm_ref,276803.3242645006,NREM,first2h-recovery-match,Valentino
theta,mpta_wm_ref,17515.29669157225,NREM,first2h-recovery-match,Valentino
theta,sr_wm_ref,230833.78287115338,NREM,first2h-recovery-match,Valentino
fast_gamma,mpta_wm_ref,879.9530271183362,NREM,first2h-recovery-match,Valentino
fast_gamma,sr_wm_ref,8112.589649738942,NREM,first2h-recovery-match,Valentino
low_delta,mpta_wm_ref,5189.832587871586,wake,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,41067.033495754506,wake,first2h-recovery-match,Valentino
delta,mpta_wm_ref,9997.536580057316,wake,first2h-recovery-match,Valentino
delta,sr_wm_ref,89851.45171018249,wake,first2h-recovery-match,Valentino
theta,mpta_wm_ref,6366.516514368281,wake,first2h-recovery-match,Valentino
theta,sr_wm_ref,140221.1154334716,wake,first2h-recovery-match,Valentino
fast_gamma,mpta_wm_ref,884.5212612726577,wake,first2h-recovery-match,Valentino
fast_gamma,sr_wm_ref,3373.281461175107,wake,first2h-recovery-match,Valentino
low_delta,mpta_wm_ref,12816.221836415363,all-SPW-states,first2h-recovery-match,Valentino
low_delta,sr_wm_ref,80606.60202698715,all-SPW-states,first2h-recovery-match,Valentino
delta,mpta_wm_ref,24676.246001941156,all-SPW-states,first2h-recovery-match,Valentino
delta,sr_wm_ref,202238.36013022228,all-SPW-states,first2h-recovery-match,Valentino
theta,mpta_wm_ref,10831.498263009948,all-SPW-states,first2h-recovery-match,Valentino
